Run chance based on highest party level.
Match the enemy on the left with the highest level in your party.
The column determines your current run chance.

Name		  LVL	  12.5%		25%		50%		75%

Barium            1	  		Lv 1-8  	Lv 9-15 	Lv 16+  
Pickpocket        1	  		Lv 1-8  	Lv 9-15 	Lv 16+  
Thief             2	  Lv 1    	Lv 2-9  	Lv 10-16	Lv 17+  
Goblin            2	  Lv 1    	Lv 2-9  	Lv 10-16	Lv 17+  
Orc               3	  Lv 1-2  	Lv 3-10 	Lv 11-17	Lv 18+  
Dog               3	  Lv 1-2  	Lv 3-10 	Lv 11-17	Lv 18+  
Wolf              4	  Lv 1-3  	Lv 4-11 	Lv 12-18	Lv 19+  
Saurian           4	  Lv 1-3  	Lv 4-11 	Lv 12-18	Lv 19+  
Lizardman         5	  Lv 1-4  	Lv 5-12 	Lv 13-19	Lv 20+  
Chimera           8	  Lv 1-7  	Lv 8-15 	Lv 16-22	Lv 23+  
Pudding           3	  Lv 1-2  	Lv 3-10 	Lv 11-17	Lv 18+  
Stone Golem       10	  Lv 1-9  	Lv 10-17	Lv 18-24	Lv 25+  
Iron Golem        15	  Lv 1-14 	Lv 15-22	Lv 23-29	Lv 30+  
Bee               7	  Lv 1-6  	Lv 7-14 	Lv 15-21	Lv 22+  
Flytrap           5	  Lv 1-4  	Lv 5-12 	Lv 13-19	Lv 20+  
Wolfsbane         8	  Lv 1-7  	Lv 8-15 	Lv 16-22	Lv 23+  
Treant            4	  Lv 1-3  	Lv 4-11 	Lv 12-18	Lv 19+  
Dryad             6	  Lv 1-5  	Lv 6-13 	Lv 14-20	Lv 21+  
Dire Lizard       10	  Lv 1-9  	Lv 10-17	Lv 18-24	Lv 25+  
Assassin          12	  Lv 1-11 	Lv 12-19	Lv 20-26	Lv 27+  
Cyclops           20	  Lv 1-19 	Lv 20-27	Lv 28-34	Lv 35+  
Ifrit             25	  Lv 1-24 	Lv 25-32	Lv 33-39	Lv 40+  
Zero              30	  Lv 1-29 	Lv 30-37	Lv 38-44	Lv 45+  
Gel               6	  Lv 1-5  	Lv 6-13 	Lv 14-20	Lv 21+  
Hobgoblin         6	  Lv 1-5  	Lv 6-13 	Lv 14-20	Lv 21+  
Fighter           7	  Lv 1-6  	Lv 7-14 	Lv 15-21	Lv 22+  
Lizardkin         6	  Lv 1-5  	Lv 6-13 	Lv 14-20	Lv 21+  
Mage              8	  Lv 1-7  	Lv 8-15 	Lv 16-22	Lv 23+  
Zombie            5	  Lv 1-4  	Lv 5-12 	Lv 13-19	Lv 20+  
Skeleton          6	  Lv 1-5  	Lv 6-13 	Lv 14-20	Lv 21+  
Witch             4	  Lv 1-3  	Lv 4-11 	Lv 12-18	Lv 19+  
Basilisk          8	  Lv 1-7  	Lv 8-15 	Lv 16-22	Lv 23+  
Manticore         12	  Lv 1-11 	Lv 12-19	Lv 20-26	Lv 27+  
Bones             8	  Lv 1-7  	Lv 8-15 	Lv 16-22	Lv 23+  
Lamia             14	  Lv 1-13 	Lv 14-21	Lv 22-28	Lv 29+  
